"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ATF39",2.93302712869837e-98,1.82999001919813,0.989,0.815,5.86605425739674e-95,"29","ATF3"
"SGIP12",3.63400169445245e-98,0.252084891643295,0.93,0.849,7.2680033889049e-95,"29","SGIP1"
"FXYD12",6.11791115888337e-98,1.77944168310286,0.875,0.636,1.22358223177667e-94,"29","FXYD1"
"PLP1",2.15484850303634e-97,1.63164447260997,0.864,0.595,4.30969700607267e-94,"29","PLP1"
"CNN34",3.27831892785711e-97,1.89326825080047,0.912,0.79,6.55663785571422e-94,"29","CNN3"
"SEMA3B3",3.62633765801355e-97,2.02489696110585,0.901,0.726,7.25267531602711e-94,"29","SEMA3B"
"FN14",2.1664651155666e-96,1.12980625028093,0.974,0.771,4.33293023113321e-93,"29","FN1"
"GPC62",5.33706934756014e-95,0.287125583994724,0.901,0.591,1.06741386951203e-91,"29","GPC6"
"COL18A13",1.58509704108122e-94,1.90178311607627,0.897,0.648,3.17019408216244e-91,"29","COL18A1"
"LYPD1",2.83817182340664e-94,0.550998103425425,0.868,0.523,5.67634364681329e-91,"29","LYPD1"
"PMP226",9.16455779480806e-94,1.74933545911032,0.941,0.892,1.83291155896161e-90,"29","PMP22"
"ID42",1.16215476170214e-93,1.40803647759057,0.89,0.742,2.32430952340428e-90,"29","ID4"
"LSAMP2",5.56288801119727e-92,0.733492266717773,0.908,0.769,1.11257760223945e-88,"29","LSAMP"
"C1S2",1.26114153200131e-91,1.07643144059573,0.949,0.775,2.52228306400262e-88,"29","C1S"
"NEGR12",2.35571834804797e-91,0.975035719869361,0.868,0.603,4.71143669609594e-88,"29","NEGR1"
"VIM10",2.92422996996516e-91,1.55589051371532,1,0.929,5.84845993993032e-88,"29","VIM"
"CCN32",1.08963768476395e-90,2.65160552881215,0.875,0.841,2.1792753695279e-87,"29","CCN3"
"MGP3",2.99515727920239e-90,0.323274164905114,0.967,0.847,5.99031455840478e-87,"29","MGP"
"KCNE42",1.53088530066568e-89,0.624303563665462,0.882,0.795,3.06177060133135e-86,"29","KCNE4"
"THSD7A1",2.03029880735591e-89,0.44084792313263,0.893,0.688,4.06059761471182e-86,"29","THSD7A"
"PMEPA110",2.53015814398308e-89,1.61463788257699,0.967,0.798,5.06031628796616e-86,"29","PMEPA1"
"PLPP13",2.85112523184819e-89,1.53211628691503,0.893,0.605,5.70225046369639e-86,"29","PLPP1"
"ANGPTL23",3.16947495256407e-88,0.26375658203489,0.89,0.609,6.33894990512813e-85,"29","ANGPTL2"
"NGFR",6.19275205302943e-88,1.4004465084347,0.846,0.658,1.23855041060589e-84,"29","NGFR"
"COL7A1",3.7186160757887e-86,0.315460126007021,0.893,0.632,7.43723215157741e-83,"29","COL7A1"
"C11orf962",2.20213204121342e-85,0.675582901086901,0.945,0.799,4.40426408242685e-82,"29","C11orf96"
"SCN7A1",2.59392875703487e-84,1.92514952600738,0.842,0.659,5.18785751406973e-81,"29","SCN7A"
"COL1A22",5.89320858575646e-83,0.340514217230355,0.915,0.81,1.17864171715129e-79,"29","COL1A2"
"CD911",8.98837149329038e-83,1.58680500979546,0.993,0.951,1.79767429865808e-79,"29","CD9"
"ACTG21",5.24734378599634e-82,0.796208971629072,0.842,0.465,1.04946875719927e-78,"29","ACTG2"
"PXDN3",6.47436987806984e-82,0.481238184600798,0.882,0.702,1.29487397561397e-78,"29","PXDN"
"MMP22",1.21265381199321e-81,0.267955011675725,0.941,0.782,2.42530762398643e-78,"29","MMP2"
"GASK1B3",1.86297553313848e-81,0.727912514123556,0.938,0.743,3.72595106627696e-78,"29","GASK1B"
"LAMB13",3.60314314262359e-81,0.871493611778445,0.934,0.65,7.20628628524718e-78,"29","LAMB1"
"TFPI22",1.2492379698588e-80,0.405885407154357,0.938,0.791,2.49847593971761e-77,"29","TFPI2"
"CIITA5",2.97402739556749e-80,0.284798109477569,0.912,0.59,5.94805479113498e-77,"29","CIITA"
"COL1A12",6.11022288039874e-79,0.471154952222411,0.915,0.784,1.22204457607975e-75,"29","COL1A1"
"COL6A24",1.00933930276911e-78,0.792944101620526,0.952,0.811,2.01867860553822e-75,"29","COL6A2"
"LMCD13",2.65016953212888e-78,0.316492521343152,0.912,0.694,5.30033906425776e-75,"29","LMCD1"
"VWA12",1.63208927639084e-77,1.64874095967942,0.871,0.603,3.26417855278167e-74,"29","VWA1"
"UCHL11",1.77290092071676e-77,0.922948685614705,0.842,0.541,3.54580184143353e-74,"29","UCHL1"
"AEBP12",4.41592103465057e-77,1.03917956025081,0.893,0.833,8.83184206930114e-74,"29","AEBP1"
"RASSF45",2.62300443750739e-76,1.52007951091045,0.893,0.705,5.24600887501477e-73,"29","RASSF4"
"RGS164",1.23150228954058e-75,1.73732103335798,0.915,0.685,2.46300457908117e-72,"29","RGS16"
"ABCA15",7.36990385542001e-75,0.784305943454742,0.908,0.63,1.473980771084e-71,"29","ABCA1"
"ITGB86",1.26582937907749e-74,2.10155834488916,0.871,0.691,2.53165875815498e-71,"29","ITGB8"
"PLN1",1.53375555200316e-74,0.326879489901484,0.853,0.667,3.06751110400631e-71,"29","PLN"
"MXRA52",4.12581907813439e-74,0.340283394990605,0.96,0.806,8.25163815626879e-71,"29","MXRA5"
"MAP1B4",7.67655498948603e-74,2.03105420501513,0.864,0.783,1.53531099789721e-70,"29","MAP1B"
"GPNMB4",1.07426030896163e-73,0.284585548432238,0.963,0.829,2.14852061792326e-70,"29","GPNMB"
"COL4A13",2.90734661626716e-73,1.00257273828461,0.89,0.784,5.81469323253432e-70,"29","COL4A1"
"STMN15",6.60393635306222e-72,1.09348526111552,0.967,0.653,1.32078727061244e-68,"29","STMN1"
"MIR100HG2",4.58527995279004e-71,1.32304105742034,0.838,0.697,9.17055990558009e-68,"29","MIR100HG"
"PTN2",9.84651521197464e-71,1.26034274383295,0.816,0.549,1.96930304239493e-67,"29","PTN"
"EDIL35",2.03281173883466e-70,0.705133759945572,0.871,0.62,4.06562347766933e-67,"29","EDIL3"
"COL4A23",2.39939553039919e-70,1.11890543364741,0.871,0.702,4.79879106079838e-67,"29","COL4A2"
