"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"LCN2",0,2.04714654282963,0.996,0.9,0,"0","LCN2"
"CEACAM6",0,1.86156755749209,0.993,0.884,0,"0","CEACAM6"
"TSPAN8",0,1.85637324392698,0.991,0.782,0,"0","TSPAN8"
"AGR2",0,1.75313361663942,0.984,0.731,0,"0","AGR2"
"S100A6",0,1.6400502065748,1,0.975,0,"0","S100A6"
"WFDC2",0,1.59833514221295,0.984,0.839,0,"0","WFDC2"
"CEACAM5",0,1.57638119150989,0.964,0.88,0,"0","CEACAM5"
"ATP1B1",0,1.57410720327372,0.991,0.809,0,"0","ATP1B1"
"TM4SF4",0,1.56589151610915,0.956,0.733,0,"0","TM4SF4"
"SPINK1",0,1.56113538896409,0.97,0.727,0,"0","SPINK1"
"SLPI",0,1.54200150252174,0.988,0.874,0,"0","SLPI"
"S100P",0,1.52878675272195,0.994,0.892,0,"0","S100P"
"IFI27",0,1.5093849003301,0.999,0.91,0,"0","IFI27"
"KRT19",0,1.50843959115517,0.999,0.858,0,"0","KRT19"
"MMP7",0,1.48962890230278,0.975,0.775,0,"0","MMP7"
"ELF3",0,1.48901864362072,0.988,0.806,0,"0","ELF3"
"FXYD3",0,1.48415312327567,0.994,0.854,0,"0","FXYD3"
"LGALS4",0,1.48056355877731,0.967,0.722,0,"0","LGALS4"
"MUC1",0,1.46860871754252,0.983,0.75,0,"0","MUC1"
"KRT8",0,1.37511224874529,0.989,0.803,0,"0","KRT8"
"SPINT2",0,1.36500157210764,0.997,0.842,0,"0","SPINT2"
"TM4SF1",0,1.36344746264835,0.998,0.924,0,"0","TM4SF1"
"TFF3",0,1.31341526980137,0.876,0.648,0,"0","TFF3"
"PSCA",0,1.30801677733262,0.893,0.76,0,"0","PSCA"
"PDZK1IP1",0,1.30493581713807,0.972,0.769,0,"0","PDZK1IP1"
"TSPAN1",0,1.29841511576959,0.971,0.753,0,"0","TSPAN1"
"GPX2",0,1.28380715739731,0.937,0.778,0,"0","GPX2"
"CYSTM1",0,1.28199860096863,0.978,0.805,0,"0","CYSTM1"
"S100A14",0,1.26385667562337,0.99,0.88,0,"0","S100A14"
"LGALS3",0,1.23022685658681,0.999,0.922,0,"0","LGALS3"
"TFF1",0,1.21228468958657,0.856,0.591,0,"0","TFF1"
"MAL2",0,1.19459741364123,0.987,0.842,0,"0","MAL2"
"PHLDA2",0,1.18677397901579,0.982,0.871,0,"0","PHLDA2"
"GSTP1",0,1.18419506202877,0.998,0.883,0,"0","GSTP1"
"MUC5B",0,1.17060646600962,0.947,0.785,0,"0","MUC5B"
"AGR3",0,1.15718557711263,0.951,0.783,0,"0","AGR3"
"ANXA4",0,1.15649494183171,0.976,0.756,0,"0","ANXA4"
"CP",0,1.1524485803449,0.94,0.757,0,"0","CP"
"DSG2",0,1.13522777915457,0.993,0.92,0,"0","DSG2"
"CLDN4",0,1.12647399505975,0.972,0.718,0,"0","CLDN4"
"MSMO1",0,1.12455980396456,0.979,0.819,0,"0","MSMO1"
"C19orf33",0,1.11921249951599,0.993,0.865,0,"0","C19orf33"
"MUC13",0,1.11537724146941,0.956,0.831,0,"0","MUC13"
"KRT18",0,1.10089340005769,0.978,0.748,0,"0","KRT18"
"EFNA1",0,1.09377422719317,0.966,0.874,0,"0","EFNA1"
"MDK",0,1.0872318462345,0.984,0.829,0,"0","MDK"
"TCN1",0,1.07073504277016,0.965,0.871,0,"0","TCN1"
"NQO1",0,1.04481632390827,0.948,0.697,0,"0","NQO1"
"CTSE",0,1.04159115968484,0.929,0.733,0,"0","CTSE"
"DHRS9",0,1.03877828046815,0.951,0.846,0,"0","DHRS9"
"CAMK2N1",0,1.03762586780289,0.956,0.74,0,"0","CAMK2N1"
"CYP3A5",0,1.02897454858428,0.93,0.757,0,"0","CYP3A5"
"LMO7",0,1.01835782067453,0.982,0.876,0,"0","LMO7"
"PERP",0,1.01030779333533,0.984,0.8,0,"0","PERP"
"HMGCS1",0,1.00952018418406,0.965,0.83,0,"0","HMGCS1"
"GPRC5A",0,1.00561651237304,0.965,0.812,0,"0","GPRC5A"
"SMIM22",0,0.999292312400288,0.946,0.755,0,"0","SMIM22"
"LAMB3",0,0.992881204757656,0.99,0.916,0,"0","LAMB3"
"TACSTD2",0,0.990535120072821,0.945,0.798,0,"0","TACSTD2"
"S100A10",0,0.986874544528825,0.999,0.969,0,"0","S100A10"
"CLDN7",0,0.980804001350497,0.961,0.768,0,"0","CLDN7"
"S100A16",0,0.956536061781553,0.98,0.85,0,"0","S100A16"
"IFI6",0,0.93695853512439,0.991,0.902,0,"0","IFI6"
"TMC5",0,0.934203516943097,0.92,0.759,0,"0","TMC5"
"ERO1A",0,0.929580621776894,0.984,0.881,0,"0","ERO1A"
"SQLE",0,0.929415891773515,0.957,0.768,0,"0","SQLE"
"TESC",0,0.925377313089014,0.956,0.73,0,"0","TESC"
"PLS1",0,0.923261248988856,0.934,0.753,0,"0","PLS1"
"KLK11",0,0.90696825201471,0.954,0.838,0,"0","KLK11"
"DSC2",0,0.905112995886637,0.972,0.875,0,"0","DSC2"
"CLDN10",0,0.904693137665512,0.933,0.774,0,"0","CLDN10"
"MUCL3",0,0.893814452256643,0.886,0.836,0,"0","MUCL3"
"MUC5AC",0,0.881417836326685,0.759,0.538,0,"0","MUC5AC"
"GOLM1",0,0.877832374045462,0.932,0.769,0,"0","GOLM1"
"SERPINA3",0,0.873218305170118,0.978,0.909,0,"0","SERPINA3"
"OCIAD2",0,0.871271742748501,0.981,0.769,0,"0","OCIAD2"
"CRABP2",0,0.870959460229288,0.969,0.862,0,"0","CRABP2"
"PRSS8",0,0.870735130161243,0.936,0.784,0,"0","PRSS8"
"MARCKSL1",0,0.866097458314842,0.918,0.682,0,"0","MARCKSL1"
"SLC40A1",0,0.861226115023748,0.912,0.721,0,"0","SLC40A1"
"TMPRSS4",0,0.859477353122259,0.922,0.82,0,"0","TMPRSS4"
"SFN",0,0.858432536849899,0.938,0.775,0,"0","SFN"
"CYP51A1",0,0.8582203600477,0.956,0.791,0,"0","CYP51A1"
"MGST1",0,0.846231220099182,0.959,0.798,0,"0","MGST1"
"CD24",0,0.844288425628645,0.929,0.704,0,"0","CD24"
"RAB25",0,0.836123156861279,0.912,0.71,0,"0","RAB25"
"RARRES1",0,0.836058601372638,0.936,0.84,0,"0","RARRES1"
"ITGA6",0,0.827185991296518,0.979,0.834,0,"0","ITGA6"
"TMEM265",0,0.820695167399564,0.973,0.796,0,"0","TMEM265"
"MUC20",0,0.816986135296501,0.928,0.727,0,"0","MUC20"
"SDCBP2",0,0.810972235288848,0.93,0.774,0,"0","SDCBP2"
"RAB11FIP1",0,0.809433830085704,0.977,0.875,0,"0","RAB11FIP1"
"DUOX2",0,0.798602021528452,0.886,0.709,0,"0","DUOX2"
"APOL1",0,0.795539019360353,0.932,0.676,0,"0","APOL1"
"ALDH1A1",0,0.795141843246496,0.939,0.79,0,"0","ALDH1A1"
"EGLN3",0,0.794820692416871,0.891,0.79,0,"0","EGLN3"
"KRT7",0,0.79119729058621,0.971,0.795,0,"0","KRT7"
"LAD1",0,0.789904379488762,0.935,0.821,0,"0","LAD1"
"GCNT3",0,0.787164641967413,0.911,0.757,0,"0","GCNT3"
"MIA",0,0.783190553122059,0.898,0.724,0,"0","MIA"
"SDC1",0,0.776573817709941,0.941,0.823,0,"0","SDC1"
"KCNK1",0,0.775661801207515,0.93,0.78,0,"0","KCNK1"
"ABHD17C",0,0.773097972972107,0.959,0.84,0,"0","ABHD17C"
"AQP5",0,0.771248006976643,0.916,0.742,0,"0","AQP5"
"CDH1",0,0.758411727864064,0.919,0.783,0,"0","CDH1"
"TMEM238",0,0.753894316309059,0.92,0.664,0,"0","TMEM238"
"TSC22D1",0,0.749014786117023,0.984,0.889,0,"0","TSC22D1"
"DSP",0,0.746685225382062,0.926,0.783,0,"0","DSP"
"CLDN3",0,0.745466260525865,0.94,0.725,0,"0","CLDN3"
"KLF5",0,0.74242921239649,0.882,0.685,0,"0","KLF5"
"FAM3B",0,0.741736012657775,0.9,0.747,0,"0","FAM3B"
"JPT1",0,0.737680220615894,0.98,0.855,0,"0","JPT1"
"SLC44A4",0,0.730178517026582,0.865,0.699,0,"0","SLC44A4"
"SDC4",0,0.724635851457704,0.973,0.858,0,"0","SDC4"
"CLDN18",0,0.709783102625962,0.793,0.51,0,"0","CLDN18"
"SYT8",0,0.708538605696083,0.955,0.871,0,"0","SYT8"
"LY6D",0,0.706928490138244,0.938,0.905,0,"0","LY6D"
"SLC2A1",0,0.705044946616232,0.941,0.814,0,"0","SLC2A1"
"CSTB",0,0.700119202272294,0.995,0.918,0,"0","CSTB"
"OLFM4",0,0.697535475887108,0.786,0.611,0,"0","OLFM4"
"NECTIN4",0,0.690458180552698,0.947,0.836,0,"0","NECTIN4"
"SRD5A3",0,0.689223295920805,0.915,0.687,0,"0","SRD5A3"
"FDPS",0,0.684529135767229,0.932,0.668,0,"0","FDPS"
"SOX9",0,0.684392812694566,0.869,0.74,0,"0","SOX9"
"LIPH",0,0.678389489505006,0.862,0.686,0,"0","LIPH"
"MGLL",0,0.676696728614872,0.918,0.653,0,"0","MGLL"
"SLC6A14",0,0.665059976877241,0.942,0.889,0,"0","SLC6A14"
"FDFT1",0,0.659069720009135,0.951,0.759,0,"0","FDFT1"
"TMEM54",0,0.657222065592121,0.826,0.612,0,"0","TMEM54"
"SCD",0,0.655433942576074,0.935,0.819,0,"0","SCD"
"BCAS1",0,0.654475910903855,0.847,0.675,0,"0","BCAS1"
"SERINC2",0,0.651691755451704,0.873,0.759,0,"0","SERINC2"
"SGPP2",0,0.645463376790977,0.912,0.766,0,"0","SGPP2"
"ANXA10",0,0.6424382319415,0.813,0.562,0,"0","ANXA10"
"RNF128",0,0.640393243113551,0.866,0.646,0,"0","RNF128"
"ERRFI1",0,0.633846843124545,0.955,0.865,0,"0","ERRFI1"
"ZG16B",0,0.630228706013658,0.915,0.791,0,"0","ZG16B"
"EPS8L1",0,0.629347333446088,0.877,0.768,0,"0","EPS8L1"
"COL17A1",0,0.628646865823352,0.954,0.895,0,"0","COL17A1"
"CXCL5",0,0.624048816588232,0.935,0.825,0,"0","CXCL5"
"ERBB3",0,0.622735191609923,0.807,0.663,0,"0","ERBB3"
"LAMA3",0,0.621229691548281,0.957,0.848,0,"0","LAMA3"
"BACE2",0,0.620201233276891,0.862,0.687,0,"0","BACE2"
"PIGR",0,0.613932658186291,0.852,0.572,0,"0","PIGR"
"ARL14",0,0.610492585273377,0.913,0.804,0,"0","ARL14"
"JUP",0,0.610182108027456,0.89,0.712,0,"0","JUP"
"C12orf75",0,0.609248154312909,0.93,0.754,0,"0","C12orf75"
"ID1",0,0.607907067561024,0.855,0.744,0,"0","ID1"
"CKB",0,0.605445232255693,0.947,0.773,0,"0","CKB"
"GABRP",0,0.605167726212207,0.908,0.763,0,"0","GABRP"
"KLK8",0,0.60373575631063,0.904,0.746,0,"0","KLK8"
"MET",0,0.602560965378713,0.956,0.832,0,"0","MET"
"KRT16",0,0.602502560040768,0.93,0.882,0,"0","KRT16"
"CLTB",0,0.5994983789072,0.954,0.748,0,"0","CLTB"
"PMEPA1",0,0.599266428845487,0.962,0.772,0,"0","PMEPA1"
"ABCC3",0,0.598501051502311,0.835,0.69,0,"0","ABCC3"
"LDLR",0,0.596565907988487,0.872,0.766,0,"0","LDLR"
"KLK10",0,0.59204773392095,0.93,0.803,0,"0","KLK10"
"ITGB6",0,0.591045232968318,0.908,0.826,0,"0","ITGB6"
"CXADR",0,0.590406916832768,0.819,0.669,0,"0","CXADR"
"CALML4",0,0.588287424639653,0.853,0.617,0,"0","CALML4"
"PON2",0,0.588128074879211,0.908,0.682,0,"0","PON2"
"KLK7",0,0.587545140383169,0.905,0.753,0,"0","KLK7"
"TFPI",0,0.585914658706025,0.948,0.807,0,"0","TFPI"
"C15orf48",0,0.581763155136332,0.948,0.884,0,"0","C15orf48"
"TMEM141",0,0.578611279020125,0.937,0.703,0,"0","TMEM141"
"CLIC3",0,0.57676052482638,0.928,0.791,0,"0","CLIC3"
"SLURP2",0,0.576755167136964,0.911,0.843,0,"0","SLURP2"
"ITGA2",0,0.57576571371886,0.919,0.759,0,"0","ITGA2"
"STARD10",0,0.572188722584,0.797,0.574,0,"0","STARD10"
"CDA",0,0.570650862950317,0.957,0.833,0,"0","CDA"
"CLDN1",0,0.56738902284968,0.956,0.873,0,"0","CLDN1"
"UNC5B-AS1",0,0.56602705498874,0.934,0.866,0,"0","UNC5B-AS1"
"CDKN2A",0,0.564899818241911,0.962,0.842,0,"0","CDKN2A"
"MYH14",0,0.559433564383184,0.809,0.653,0,"0","MYH14"
"PRSS3",0,0.558472049922482,0.914,0.802,0,"0","PRSS3"
"RAMP1",0,0.557612765683707,0.931,0.809,0,"0","RAMP1"
"AMN",0,0.552036763877033,0.854,0.705,0,"0","AMN"
"SLC6A8",0,0.546404169480804,0.868,0.737,0,"0","SLC6A8"
"SLC12A2",0,0.545777760700558,0.846,0.592,0,"0","SLC12A2"
"CRIP2",0,0.544820540878088,0.948,0.757,0,"0","CRIP2"
"SLC9A3R2",0,0.544607717607776,0.901,0.758,0,"0","SLC9A3R2"
"TRIM29",0,0.544221218411547,0.925,0.815,0,"0","TRIM29"
"EHF",0,0.543558491375531,0.922,0.81,0,"0","EHF"
"ARL6IP1",0,0.543097786680442,0.983,0.902,0,"0","ARL6IP1"
"VSIG2",0,0.542109289587589,0.776,0.629,0,"0","VSIG2"
"CAV2",0,0.538812579581784,0.953,0.798,0,"0","CAV2"
"WDR72",0,0.535173062126739,0.888,0.848,0,"0","WDR72"
"TNFRSF6B",0,0.532372482049885,0.918,0.77,0,"0","TNFRSF6B"
"PRSS22",0,0.531052845270233,0.892,0.682,0,"0","PRSS22"
"LEMD1",0,0.529488307536561,0.927,0.783,0,"0","LEMD1"
"DEPP1",0,0.528480315441425,0.952,0.879,0,"0","DEPP1"
"CGN",0,0.527884045597727,0.823,0.72,0,"0","CGN"
"DUOXA2",0,0.527068140511046,0.808,0.661,0,"0","DUOXA2"
"SERPINA1",0,0.524257855079522,0.93,0.731,0,"0","SERPINA1"
"INSIG1",0,0.523308580375594,0.95,0.789,0,"0","INSIG1"
"RAB27B",0,0.522861556854803,0.886,0.659,0,"0","RAB27B"
"LINC01133",0,0.522049004029367,0.844,0.746,0,"0","LINC01133"
"PLAAT3",0,0.519001127919728,0.944,0.78,0,"0","PLAAT3"
"CAPN8",0,0.518478434173043,0.784,0.616,0,"0","CAPN8"
"S100A13",0,0.51835190357364,0.892,0.739,0,"0","S100A13"
"BIK",0,0.506746641361785,0.88,0.709,0,"0","BIK"
"FAT1",0,0.506008912135987,0.901,0.807,0,"0","FAT1"
"FHL2",0,0.505016581828514,0.871,0.713,0,"0","FHL2"
"MALL",0,0.503074349178271,0.88,0.635,0,"0","MALL"
"EPHA2",0,0.500542074028529,0.885,0.699,0,"0","EPHA2"
"LINC00342",0,0.498755823183007,0.84,0.692,0,"0","LINC00342"
"RHPN2",0,0.497498041300202,0.829,0.712,0,"0","RHPN2"
"MSLN",0,0.496301264829739,0.881,0.691,0,"0","MSLN"
"CD9",0,0.494441860793819,0.987,0.946,0,"0","CD9"
"SERPINB3",0,0.493599958389956,0.882,0.801,0,"0","SERPINB3"
"ISG20",0,0.492943922741292,0.966,0.87,0,"0","ISG20"
"ANXA3",0,0.49078528908152,0.871,0.681,0,"0","ANXA3"
"ITGB4",0,0.486979543033146,0.862,0.737,0,"0","ITGB4"
"PHGR1",0,0.486221635815287,0.754,0.652,0,"0","PHGR1"
"MPZL2",0,0.48549632134842,0.934,0.836,0,"0","MPZL2"
"TMEM45A",0,0.483916215480261,0.917,0.81,0,"0","TMEM45A"
"PROM1",0,0.481927323765133,0.858,0.694,0,"0","PROM1"
"PLPP2",0,0.480478540932393,0.795,0.671,0,"0","PLPP2"
"KRTCAP3",0,0.479207295382289,0.867,0.613,0,"0","KRTCAP3"
"OCLN",0,0.47669496840638,0.803,0.674,0,"0","OCLN"
"GALNT5",0,0.473038477610032,0.822,0.693,0,"0","GALNT5"
"LAMC2",0,0.471592719354085,0.962,0.869,0,"0","LAMC2"
"MMP28",0,0.469867299320308,0.923,0.863,0,"0","MMP28"
"AHNAK2",0,0.469679362039267,0.898,0.808,0,"0","AHNAK2"
"CORO2A",0,0.469168612996142,0.851,0.64,0,"0","CORO2A"
"TMEM176A",0,0.468269784988832,0.903,0.799,0,"0","TMEM176A"
"CEACAM1",0,0.466827766346776,0.859,0.709,0,"0","CEACAM1"
"TRNP1",0,0.465942580709785,0.781,0.573,0,"0","TRNP1"
"CA12",0,0.464615348246786,0.925,0.759,0,"0","CA12"
"CMBL",0,0.459607951387691,0.796,0.713,0,"0","CMBL"
"TMEM176B",0,0.458743885020326,0.913,0.801,0,"0","TMEM176B"
"TPM1",0,0.458605300899547,0.94,0.75,0,"0","TPM1"
"CCND1",0,0.458106001382217,0.866,0.713,0,"0","CCND1"
"SERPINB1",0,0.45786900829997,0.932,0.761,0,"0","SERPINB1"
"H1F0",0,0.457562130655524,0.919,0.779,0,"0","H1F0"
"PLA2G10",0,0.457284224073262,0.721,0.671,0,"0","PLA2G10"
"ONECUT2",0,0.449050447533236,0.733,0.554,0,"0","ONECUT2"
"KRT17",0,0.445689922090594,0.94,0.867,0,"0","KRT17"
"TINAGL1",0,0.443906364945688,0.859,0.709,0,"0","TINAGL1"
"CFH",0,0.440887288254252,0.956,0.769,0,"0","CFH"
"TOX3",0,0.439559961622876,0.754,0.612,0,"0","TOX3"
"RASSF6",0,0.437133082254683,0.794,0.669,0,"0","RASSF6"
"MUC4",0,0.437030032967438,0.882,0.743,0,"0","MUC4"
"VNN1",0,0.431809713362769,0.894,0.641,0,"0","VNN1"
"SFTA2",0,0.430169146489336,0.884,0.784,0,"0","SFTA2"
"AC008397.1",0,0.426475456295176,0.824,0.702,0,"0","AC008397.1"
"CD55",0,0.425933918070392,0.954,0.864,0,"0","CD55"
"CCL28",0,0.424155876256878,0.912,0.701,0,"0","CCL28"
"PLAAT4",0,0.423849002302696,0.959,0.757,0,"0","PLAAT4"
"DHCR24",0,0.42211074923244,0.753,0.611,0,"0","DHCR24"
"S100A4",0,0.421408933744541,0.985,0.923,0,"0","S100A4"
"SHROOM3",0,0.421018166383133,0.672,0.446,0,"0","SHROOM3"
"MUC16",0,0.419846995894704,0.904,0.763,0,"0","MUC16"
"TRIM31",0,0.418294432845301,0.785,0.69,0,"0","TRIM31"
"PLLP",0,0.416829424713031,0.855,0.713,0,"0","PLLP"
"NET1",0,0.41502026021762,0.863,0.745,0,"0","NET1"
"KLK6",0,0.413640461631973,0.877,0.705,0,"0","KLK6"
"TMEM45B",0,0.413180229087781,0.781,0.701,0,"0","TMEM45B"
"SDR16C5",0,0.412292702643223,0.839,0.779,0,"0","SDR16C5"
"HPGD",0,0.409778443420045,0.807,0.703,0,"0","HPGD"
"TFF2",0,0.409345711364734,0.557,0.413,0,"0","TFF2"
"EEF1A2",0,0.406159371410859,0.898,0.783,0,"0","EEF1A2"
"EPB41L1",0,0.402727265015217,0.761,0.598,0,"0","EPB41L1"
"FA2H",0,0.401214915217656,0.83,0.764,0,"0","FA2H"
"VSIG1",0,0.394208970279787,0.656,0.492,0,"0","VSIG1"
"TNFRSF21",0,0.389918669374599,0.795,0.71,0,"0","TNFRSF21"
"RHOD",0,0.38889240166909,0.91,0.749,0,"0","RHOD"
"RHOV",0,0.387203504868687,0.889,0.841,0,"0","RHOV"
"INAVA",0,0.385210639263877,0.686,0.545,0,"0","INAVA"
"DSG3",0,0.383226025635331,0.937,0.904,0,"0","DSG3"
"ST6GALNAC1",0,0.381550967842445,0.726,0.472,0,"0","ST6GALNAC1"
"ANKRD36C",0,0.381298665485925,0.851,0.755,0,"0","ANKRD36C"
"CXCL17",0,0.379259169548085,0.75,0.555,0,"0","CXCL17"
"MACC1",0,0.379105998934176,0.752,0.676,0,"0","MACC1"
"DEFB1",0,0.378077093789628,0.924,0.817,0,"0","DEFB1"
"HES4",0,0.376847694432461,0.953,0.874,0,"0","HES4"
"PLAT",0,0.363449999790803,0.843,0.677,0,"0","PLAT"
"SGMS2",0,0.363399452311977,0.869,0.706,0,"0","SGMS2"
"B3GALT5",0,0.359638033438969,0.775,0.58,0,"0","B3GALT5"
"ASS1",0,0.355712505353106,0.789,0.72,0,"0","ASS1"
"HIST1H1C",0,0.353871680813171,0.938,0.885,0,"0","HIST1H1C"
"AOC1",0,0.353099122342107,0.719,0.65,0,"0","AOC1"
"HS3ST1",0,0.350058852131844,0.83,0.747,0,"0","HS3ST1"
"HK2",0,0.348371582851388,0.924,0.862,0,"0","HK2"
"TST",0,0.347621347197246,0.752,0.582,0,"0","TST"
"PDLIM1",0,0.347479452236051,0.89,0.753,0,"0","PDLIM1"
"MYEOV",0,0.345325516630631,0.767,0.608,0,"0","MYEOV"
"PITX1",0,0.338265394306539,0.782,0.682,0,"0","PITX1"
"AKR7A3",0,0.337579761678133,0.665,0.512,0,"0","AKR7A3"
"SMIM6",0,0.33625715849453,0.786,0.669,0,"0","SMIM6"
"MUC3A",0,0.33401973123807,0.671,0.533,0,"0","MUC3A"
"SAA1",0,0.33230826046986,0.794,0.656,0,"0","SAA1"
"SCGB3A1",0,0.330850537669684,0.867,0.819,0,"0","SCGB3A1"
"SORBS2",0,0.329643509226557,0.849,0.771,0,"0","SORBS2"
"ECM1",0,0.327489565725604,0.914,0.764,0,"0","ECM1"
"PARD6B",0,0.326342705532241,0.745,0.651,0,"0","PARD6B"
"NMB",0,0.323693168005499,0.922,0.805,0,"0","NMB"
"DMKN",0,0.321042400828891,0.787,0.66,0,"0","DMKN"
"AKR1C3",0,0.320109331395854,0.688,0.582,0,"0","AKR1C3"
"SLCO1B3",0,0.319344135668901,0.932,0.904,0,"0","SLCO1B3"
"CFB",0,0.318794909178352,0.782,0.674,0,"0","CFB"
"ITGB8",0,0.317006889469272,0.811,0.671,0,"0","ITGB8"
"CEMIP",0,0.315969993617414,0.89,0.651,0,"0","CEMIP"
"SULT1C2",0,0.313647084534734,0.684,0.49,0,"0","SULT1C2"
"CDC42EP5",0,0.312475044235796,0.687,0.566,0,"0","CDC42EP5"
"SEMA3B",0,0.312167384234005,0.821,0.71,0,"0","SEMA3B"
"CAPS",0,0.311527590584599,0.807,0.638,0,"0","CAPS"
"GATM",0,0.309870291828106,0.776,0.648,0,"0","GATM"
"HSPG2",0,0.309159774318145,0.816,0.68,0,"0","HSPG2"
"TCIM",0,0.307580278193295,0.825,0.685,0,"0","TCIM"
"FOXA3",0,0.306884586880991,0.729,0.683,0,"0","FOXA3"
"CRB3",0,0.303954707222635,0.757,0.616,0,"0","CRB3"
"GDF15",0,0.303551102122099,0.769,0.679,0,"0","GDF15"
"LYPD2",0,0.302340208069547,0.676,0.544,0,"0","LYPD2"
"KRT23",0,0.298489735342603,0.775,0.608,0,"0","KRT23"
"CA9",0,0.297722910228265,0.726,0.573,0,"0","CA9"
"AP1M2",0,0.296414676268942,0.716,0.644,0,"0","AP1M2"
"NDRG1",0,0.295602293825219,0.919,0.845,0,"0","NDRG1"
"HIST2H2BE",0,0.295078436889749,0.845,0.829,0,"0","HIST2H2BE"
"HIST1H2AC",0,0.292725477712248,0.853,0.831,0,"0","HIST1H2AC"
"TNFRSF12A",0,0.290233711067208,0.892,0.739,0,"0","TNFRSF12A"
"PRR15L",0,0.288808335695516,0.654,0.548,0,"0","PRR15L"
"CKS1B",0,0.286846398690384,0.927,0.722,0,"0","CKS1B"
"ADGRF1",0,0.283824753256961,0.711,0.655,0,"0","ADGRF1"
"SLC26A9",0,0.282164430242497,0.793,0.522,0,"0","SLC26A9"
"VIL1",0,0.281989614026929,0.767,0.654,0,"0","VIL1"
"TNFSF10",0,0.280865665792069,0.808,0.653,0,"0","TNFSF10"
"HIST1H2BC",0,0.280159604367864,0.905,0.762,0,"0","HIST1H2BC"
"DDX60",0,0.279978591745584,0.837,0.664,0,"0","DDX60"
"BMP2",0,0.278093259004662,0.702,0.584,0,"0","BMP2"
"CDH17",0,0.275883631726998,0.825,0.707,0,"0","CDH17"
"SERPINB5",0,0.272935948235069,0.815,0.688,0,"0","SERPINB5"
"TMPRSS2",0,0.270686469253505,0.665,0.554,0,"0","TMPRSS2"
"RND3",0,0.270562895550969,0.86,0.764,0,"0","RND3"
"SPRR1B",0,0.269781913441693,0.913,0.897,0,"0","SPRR1B"
"CYB5A",0,0.268621559138282,0.802,0.591,0,"0","CYB5A"
"GDA",0,0.267854177710457,0.802,0.626,0,"0","GDA"
"NCEH1",0,0.267463558047163,0.898,0.74,0,"0","NCEH1"
"FOXQ1",0,0.265319467078889,0.586,0.5,0,"0","FOXQ1"
"PRAP1",0,0.261299354847452,0.752,0.535,0,"0","PRAP1"
"CREB3L1",0,0.260134075909047,0.64,0.552,0,"0","CREB3L1"
"TM4SF5",0,0.258392837714654,0.64,0.529,0,"0","TM4SF5"
"HIST1H2BD",0,0.257326220523963,0.786,0.796,0,"0","HIST1H2BD"
"AZGP1",0,0.256233995390038,0.705,0.503,0,"0","AZGP1"
"PPL",0,0.255995161394396,0.797,0.683,0,"0","PPL"
"MECOM",0,0.25101624184983,0.64,0.593,0,"0","MECOM"
"KRT171",0,2.14946639595927,0.952,0.866,0,"1","KRT17"
"LAMB31",0,1.98964227106001,0.989,0.918,0,"1","LAMB3"
"DCBLD2",0,1.84583208860008,0.982,0.882,0,"1","DCBLD2"
"COL17A11",0,1.78236327339511,0.981,0.892,0,"1","COL17A1"
"F3",0,1.73177841204541,0.964,0.805,0,"1","F3"
"MUCL31",0,1.68621033678476,0.922,0.831,0,"1","MUCL3"
"DSG21",0,1.6494314437574,0.992,0.922,0,"1","DSG2"
"LAMC21",0,1.63749584104552,0.957,0.872,0,"1","LAMC2"
"S100A41",0,1.5923417417017,0.995,0.922,0,"1","S100A4"
"S100P1",0,1.58731441284028,0.992,0.894,0,"1","S100P"
"LMO71",0,1.5838337496616,0.977,0.878,0,"1","LMO7"
"KRT71",0,1.57463537436007,0.956,0.8,0,"1","KRT7"
"C19orf331",0,1.53923141448761,0.99,0.867,0,"1","C19orf33"
"KRT191",0,1.53297583701158,0.996,0.861,0,"1","KRT19"
"IGFBP6",0,1.50229789286337,0.963,0.857,0,"1","IGFBP6"
"TM4SF11",0,1.49679932323992,0.993,0.926,0,"1","TM4SF1"
"S100A141",0,1.49357276472859,0.981,0.883,0,"1","S100A14"
"LAMA31",0,1.46808515151873,0.96,0.849,0,"1","LAMA3"
"PERP1",0,1.4577294636901,0.979,0.804,0,"1","PERP"
"ITGA61",0,1.45461020029466,0.983,0.836,0,"1","ITGA6"
"SDC41",0,1.45102821169498,0.971,0.86,0,"1","SDC4"
"CLDN41",0,1.37938399006997,0.956,0.724,0,"1","CLDN4"
"DSC21",0,1.32772952323538,0.962,0.878,0,"1","DSC2"
"KRT161",0,1.27444279320971,0.912,0.886,0,"1","KRT16"
"S100A161",0,1.26429610182971,0.969,0.854,0,"1","S100A16"
"IFI271",0,1.25287658616354,0.997,0.911,0,"1","IFI27"
"SERPINA31",0,1.23872198102815,0.973,0.911,0,"1","SERPINA3"
"CLTB1",0,1.21877238457314,0.953,0.751,0,"1","CLTB"
"SPINT21",0,1.21859098610344,0.988,0.845,0,"1","SPINT2"
"CDKN2A1",0,1.19931185658772,0.959,0.845,0,"1","CDKN2A"
"MDK1",0,1.1899129434979,0.977,0.833,0,"1","MDK"
"FXYD31",0,1.18466454933063,0.984,0.857,0,"1","FXYD3"
"ITGA21",0,1.17010005932282,0.916,0.762,0,"1","ITGA2"
"DHRS91",0,1.16946677847971,0.93,0.85,0,"1","DHRS9"
